Product Name,Product Price,Table Info
Máy hâm nước pha sữa FATZBABY FB3004SL,563.000 ₫,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108397', 'Cam', 'Nhựa cao cấp', '400W', '12 tháng'"
Bình sữa Comotomo xanh 150ml (Tách lẻ),419.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111464', 'Nhựa PP', '150ml', 'Xanh'"
Bình sữa Comotomo Baby Bottle 250ml,429.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108283', 'Nhựa PP', '250ml', 'Nhiều màu sắc'"
Máy hâm sữa Fatzbaby Mono 2 FB3002SL,299.000 ₫,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108208', 'Trắng', 'Nhựa cao cấp', '100W', '12 tháng'"
Núm ty silicon Pigeon Plus siêu mềm size LL,199.000 ₫,"'Pigeon', 'Nhật Bản', 'Indonesia', '118529', 'Trên 9 tháng', 'Silicon'"
Bình sữa ChuChu Baby cổ thường PPSU 240ml,220.000 ₫,"'ChuChu Baby', 'Nhật Bản', 'Nhật Bản', '120132', 'Bình sữa', 'Từ sơ sinh', 'Nhựa PPSU', '240ml'"
Bình sữa Philips Avent nhựa không có BPA 125ml (Đơn),285.000 ₫,"'Philips Avent', 'Anh', 'Indonesia', '115322', 'Từ sơ sinh', 'Nhựa PP', '125ml', 'Trắng'"
Máy hâm sữa Fatzbaby 3 chức năng Mono 1 FB3003SL,305.000 ₫,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108146', 'Cam', 'Nhựa cao cấp', '100W', '12 tháng'"
Sữa Nan Supreme số 2 800g (6 - 24 tháng),507.000 ₫,"'Nestlé', 'Thụy Sĩ', 'Đức', '118641', '6 - 24 tháng', '800g'"
Núm ty Wesser cổ hẹp size + (3 - 18 tháng),92.150 ₫,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114520', '3 - 18 tháng', 'Silicon'"
Núm ty silicon Pigeon siêu mềm size L,24.000 ₫,"'Pigeon', 'Nhật Bản', 'Việt Nam', '120792', 'Núm ty', 'Trên 7 tháng', 'Silicon'"
Nước rửa bình sữa và rau quả Dnee 500ml,89.000 ₫,"'D-nee', 'Thái Lan', 'Thái Lan', '100437', '500ml'"
Nước rửa bình sữa Dnee 600/550ml,89.000 ₫,"'D-nee', 'Thái Lan', 'Thái Lan', '100473', '600ml'"
Nước rửa bình sữa Combi 250ml 2579 (Túi thay thế),145.000 ₫,"'Combi', 'Nhật Bản', 'Nhật Bản', '100630', '250ml'"
Nước rửa bình sữa Chuchu Baby 720ml,159.000 ₫,"'ChuChu Baby', 'Nhật Bản', '100717', '720ml'"
Nước rửa bình sữa và rau quả Combi từ dầu cọ 300ml,225.000 ₫,"'Combi', 'Nhật Bản', 'Nhật Bản', '100762', '300ml'"
Nước rửa bình sữa Nuk 256264 túi 500ml,191.000 ₫,"'Nuk', 'Đức', 'Đức', '100767', '500ml'"
Nước rửa bình sữa và rau quả Chuchu Baby 820ml,199.000 ₫,"'ChuChu Baby', 'Nhật Bản', 'Nhật Bản', '100812', '820ml'"
Sữa Abbott Grow Gold 3+ hương vani 900g (3 - 6 tuổi),429.000 ₫,"'Grow', 'Mỹ', 'Singapore', '101032', '3 - 6 tuổi'"
Sữa Imperial Dream XO số 4 800g (1 - 3 tuổi),590.000 ₫,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101104', '1 - 3 tuổi'"
Sữa Aptamil Đức số 1 800g (0 - 6 tháng),620.000 ₫,"'Aptamil', 'Pháp', 'Ireland', '101108', '0 - 6 tháng'"
Sữa Nan Nga số 4 800g (Trên 18 tháng),490.000 ₫,"'Nestlé', 'Thụy Sĩ', 'Thụy Sĩ', '101113', 'Trên 18 tháng'"
Sữa I Am Mother số 3 800g (6 - 12 tháng),760.000 ₫,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101147', '6 - 12 tháng'"
Sữa I Am Mother số 4 800g (1 - 3 tuổi),791.000 ₫,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101148', '1 - 3 tuổi', '800g'"
Sữa Enfamil A+ Lactofree Care số 1 400g (0 - 12 tháng),262.000 ₫,"'Mead Johnson', 'Mỹ', 'Hà Lan', '100879', '0 - 12 tháng'"
Sữa Abbott Grow số 3 900g (1 - 2 tuổi),315.000 ₫,"'Grow', 'Mỹ', 'Ireland', '100922', '1 - 2 tuổi'"
Sữa PediaSure hương vani 400g (1 - 10 tuổi) (Giao mẫu ngẫu nhiên),325.000 ₫,"'PediaSure', 'Mỹ', 'Singapore', '100956', '1 - 10 tuổi'"
Sữa I am Mother số 1 400g (0 - 3 tháng),368.000 ₫,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '100964', '0 - 3 tháng'"
Sữa Abbott Grow 4 hương vani 900g (Trên 2 tuổi),349.000 ₫,"'Grow', 'Mỹ', 'Singapore', '100965', 'Trên 2 tuổi', 'Vani'"
Sữa Nuti IQ Step Số 2 900g (6 - 12 tháng),349.000 ₫,"'NutiFood', '100993', '6 - 12 tháng'"
Glico Icreo Balance Milk số 0 800g (0 - 12 tháng),545.000 ₫,"'Glico Icreo', 'Nhật Bản', 'Nhật Bản', '101134', '0 - 12 tháng'"
Sữa Kendamil Follow-On số 2 800g (6 - 12 tháng),630.000 ₫,"'Kendamil', 'Anh', 'Anh', '805150', '6 - 12 tháng', '900 g'"
Bình sữa Pigeon nhựa PP voi xanh 240ml,62.000 ₫,"'Pigeon', 'Nhật Bản', '114139', 'Trên 3 tháng', 'Nhựa PP', '240ml', 'Trắng'"
Máy hâm sữa và thức ăn Chicco 7388,1.050.000 ₫,"'Chicco', 'Ý', 'Trung Quốc', '112256', 'Trắng', 'Nhựa cao cấp'"
Máy tiệt trùng hơi nước điện tử thông minh Fatzbaby FB4028SL,729.000 ₫,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108404', 'Cam', 'Nhựa cao cấp', '500W'"
Sữa Imperial Kid XO hương vani 800g (2 - 15 tuổi),590.000 ₫,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101093', '2 - 15 tuổi'"
Sữa nước PediaSure BA 1+ vị dâu 237ml (1 - 10 tuổi),41.000 ₫,"'PediaSure', 'Mỹ', 'Mỹ', '119350', '1 - 10 tuổi', 'Dâu', '237ml'"
Sữa Kendamil Toddler số 3 800g (1 - 3 tuổi),630.000 ₫,"'Kendamil', 'Anh', 'Anh', '805151', '1 - 3 tuổi', '900 g'"
Sữa non Colomi 200g,550.000 ₫,"'Việt Nam', 'Việt Nam', '805145', 'Từ sơ sinh', '200 g'"
Núm ty Wesser cổ hẹp size M (4 - 6 tháng),92.150 ₫,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114518', '4 - 6 tháng', 'Silicon'"
Núm ty Wesser cổ hẹp size L (Trên 7 tháng),92.150 ₫,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114519', 'Trên 7 tháng', 'Silicon'"
Máy hâm sữa đa năng Gluck GN06,460.000 ₫,"'Gluck Baby', 'Đức', 'Trung Quốc', '115527', 'Xanh', 'Nhựa cao cấp', '150W', '0.6kg', '20 x 12 x 12 cm', '12 tháng'"
Sữa nước PediaSure BA 1+ vị vani 237ml (1 - 10 tuổi),42.000 ₫,"'PediaSure', 'Mỹ', 'Mỹ', '117713', '1 - 10 tuổi', 'Vani', '237ml'"
Núm ty Comotomo hộp 2 chiếc (Trên 6 tháng),275.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108038', 'Trên 6 tháng', 'Silicon'"
Núm ty Comotomo Y cut hộp 2 chiếc (Trên 6 tháng),275.000 ₫,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108088', 'Trên 6 tháng', 'Silicon'"
Bình sữa Pigeon nhựa PP vịt xanh 120ml,57.000 ₫,"'Pigeon', 'Nhật Bản', '114136', 'Từ sơ sinh', 'Nhựa PP', '120ml', 'Trắng'"
Núm ty Philips Avent tự nhiên vỉ đôi 654.23 (Trên 6 tháng),225.000 ₫,"'Philips Avent', 'Anh', 'Indonesia', '115328', 'Trên 6 tháng', 'Silicon'"
Bình sữa Pigeon nhựa PP cao cấp 120ml,132.000 ₫,"'Pigeon', 'Nhật Bản', '118513', 'Từ sơ sinh', 'Nhựa PP', '120ml', 'Nhiều màu sắc'"
Dụng cụ cọ bình sữa DrBrown's,176.000 ₫,"""Dr. Brown's"", 'Mỹ', '107777', 'Nhựa an toàn', 'Nhiều màu sắc'"
Bình sữa Pigeon SofTouch Plus nhựa PP 240m (Trên 3 tháng),229.000 ₫,"'Pigeon', 'Nhật Bản', 'Indonesia', '118518', 'Trên 3 tháng', 'Nhựa PP', '240ml', 'Trắng'"
Núm ty Pigeon siêu mềm size M (vỉ 2 cái),95.000 ₫,"'Pigeon', 'Nhật Bản', 'Indonesia', '107218', 'Trên 4 tháng', 'Silicon'"
Bình sữa Pigeon nhựa PP cao cấp 240ml,139.000 ₫,"'Pigeon', 'Nhật Bản', '118514', 'Bình sữa', 'Trên 6 tháng', 'Nhựa PP', '240ml', 'Nhiều màu sắc'"
Núm ty Philips Avent tự nhiên vỉ đôi 653.23 (Trên 3 tháng),225.000 ₫,"'Philips Avent', 'Anh', 'Indonesia', '115327', 'Trên 3 tháng', 'Silicon'"
