Product Name,Product Price,Table Info,ID Product,Country,Age Usage,Trademarks,Catergory
Máy hâm sữa Fatzbaby 2 bình cổ rộng Duo 1 FB3012SL,488000.0,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '117451', 'Cam', 'Nhựa an toàn', '400W', '12 tháng'",117451,Châu Á,Thời kì răng sữa,Nan Grow,Bé uống
Máy tiệt trùng bình sữa Fatzbaby FB819/4019SL,566000.0,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108391', 'Cam', 'Nhựa cao cấp', '500W', '12 tháng'",108391,Châu Á,Thời kì răng sữa,LAToys,Bé uống
Sữa PediaSure hương vani 1.6 kg (1 - 10 tuổi) (Giao mẫu ngẫu nhiên),1135000.0,"'PediaSure', 'Mỹ', 'Singapore', '101158', '1 - 10 tuổi'",101158,Mỹ,Giai đoạn thiếu niên,O!baby,Bé uống
Sữa PediaSure hương vani 850g (1 - 10 tuổi) (Giao mẫu ngẫu nhiên),669000.0,"'PediaSure', 'Mỹ', 'Singapore', '101142', '1 - 10 tuổi'",101142,Mỹ,Giai đoạn thiếu niên,Abbott,Bé uống
Glico Icreo Grow Up Milk số 1 820g (1 - 3 tuổi),469000.0,"'Glico Icreo', 'Nhật Bản', 'Nhật Bản', '101088', '9 - 36 tháng'",101088,Châu Á,Thời kì răng sữa,Toyroyal,Bé uống
Bình sữa Comotomo Baby Bottle 150ml,419000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108270', 'Nhựa PP', '150ml', 'Hồng'",108270,Mỹ,Thời kì răng sữa,Megumi,Bé uống
Bình sữa Comotomo xanh 250ml (Tách lẻ),429000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111465', 'Nhựa PP', '250ml', 'Xanh'",111465,Mỹ,Giai đoạn thiếu niên,Lactacyd,Bé uống
Bình sữa ChuChu Baby cổ thường PPSU 150ml,205000.0,"'ChuChu Baby', 'Nhật Bản', 'Nhật Bản', '120131', 'Bình sữa', 'Từ sơ sinh', 'Nhựa PPSU'",120131,Châu Á,Thời kì răng sữa,D-nee,Bé uống
Máy hâm nước pha sữa FATZBABY FB3004SL,563000.0,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108397', 'Cam', 'Nhựa cao cấp', '400W', '12 tháng'",108397,Châu Á,Giai đoạn thiếu niên,NutiFood,Bé uống
Bình sữa Comotomo xanh 150ml (Tách lẻ),419000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111464', 'Nhựa PP', '150ml', 'Xanh'",111464,Mỹ,Giai đoạn thiếu niên,LAToys,Bé uống
Bình sữa Comotomo Baby Bottle 250ml,429000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108283', 'Nhựa PP', '250ml', 'Nhiều màu sắc'",108283,Mỹ,Giai đoạn thiếu niên,KUKU,Bé uống
Máy hâm sữa Fatzbaby Mono 2 FB3002SL,299000.0,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108208', 'Trắng', 'Nhựa cao cấp', '100W', '12 tháng'",108208,Châu Á,Giai đoạn thiếu niên,Mabu,Bé uống
Núm ty silicon Pigeon Plus siêu mềm size LL,199000.0,"'Pigeon', 'Nhật Bản', 'Indonesia', '118529', 'Trên 9 tháng', 'Silicon'",118529,Châu Á,Thời kì răng sữa,Pigeon,Bé uống
Bình sữa ChuChu Baby cổ thường PPSU 240ml,220000.0,"'ChuChu Baby', 'Nhật Bản', 'Nhật Bản', '120132', 'Bình sữa', 'Từ sơ sinh', 'Nhựa PPSU', '240ml'",120132,Châu Á,Giai đoạn thiếu niên,Moaz Bébé,Bé uống
Bình sữa Philips Avent nhựa không có BPA 125ml (Đơn),285000.0,"'Philips Avent', 'Anh', 'Indonesia', '115322', 'Từ sơ sinh', 'Nhựa PP', '125ml', 'Trắng'",115322,Châu Âu,Thời kì răng sữa,Aptamil,Bé uống
Máy hâm sữa Fatzbaby 3 chức năng Mono 1 FB3003SL,305000.0,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108146', 'Cam', 'Nhựa cao cấp', '100W', '12 tháng'",108146,Châu Á,Thời kì răng sữa,Bobby,Bé uống
Sữa Nan Supreme số 2 800g (6 - 24 tháng),507000.0,"'Nestlé', 'Thụy Sĩ', 'Đức', '118641', '6 - 24 tháng', '800g'",118641,Châu Âu,Thời kì răng sữa,Nestlé,Bé uống
Núm ty Wesser cổ hẹp size + (3 - 18 tháng),92150.0,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114520', '3 - 18 tháng', 'Silicon'",114520,Châu Á,Thời kì răng sữa,Wesser,Bé uống
Núm ty silicon Pigeon siêu mềm size L,24000.0,"'Pigeon', 'Nhật Bản', 'Việt Nam', '120792', 'Núm ty', 'Trên 7 tháng', 'Silicon'",120792,Châu Á,Thời kì răng sữa,Pigeon,Bé uống
Nước rửa bình sữa và rau quả Dnee 500ml,89000.0,"'D-nee', 'Thái Lan', 'Thái Lan', '100437', '500ml'",100437,Châu Á,Thời kì răng sữa,D-nee,Bé uống
Nước rửa bình sữa Dnee 600/550ml,89000.0,"'D-nee', 'Thái Lan', 'Thái Lan', '100473', '600ml'",100473,Châu Á,Thời kì răng sữa,D-nee,Bé uống
Nước rửa bình sữa Combi 250ml 2579 (Túi thay thế),145000.0,"'Combi', 'Nhật Bản', 'Nhật Bản', '100630', '250ml'",100630,Châu Á,Thời kì răng sữa,Combi,Bé uống
Nước rửa bình sữa Chuchu Baby 720ml,159000.0,"'ChuChu Baby', 'Nhật Bản', '100717', '720ml'",100717,Châu Á,Thời kì răng sữa,Mamaru,Bé uống
Nước rửa bình sữa và rau quả Combi từ dầu cọ 300ml,225000.0,"'Combi', 'Nhật Bản', 'Nhật Bản', '100762', '300ml'",100762,Châu Á,Giai đoạn thiếu niên,Combi,Bé uống
Nước rửa bình sữa Nuk 256264 túi 500ml,191000.0,"'Nuk', 'Đức', 'Đức', '100767', '500ml'",100767,Châu Âu,Thời kì răng sữa,Geng Feng,Bé uống
Nước rửa bình sữa và rau quả Chuchu Baby 820ml,199000.0,"'ChuChu Baby', 'Nhật Bản', 'Nhật Bản', '100812', '820ml'",100812,Châu Á,Thời kì răng sữa,Basilic,Bé uống
Sữa Abbott Grow Gold 3+ hương vani 900g (3 - 6 tuổi),429000.0,"'Grow', 'Mỹ', 'Singapore', '101032', '3 - 6 tuổi'",101032,Mỹ,Giai đoạn thiếu niên,Bobby,Bé uống
Sữa Imperial Dream XO số 4 800g (1 - 3 tuổi),590000.0,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101104', '1 - 3 tuổi'",101104,Châu Á,Giai đoạn thiếu niên,Similac,Bé uống
Sữa Aptamil Đức số 1 800g (0 - 6 tháng),620000.0,"'Aptamil', 'Pháp', 'Ireland', '101108', '0 - 6 tháng'",101108,Châu Âu,Thời kì răng sữa,Aptamil,Bé uống
Sữa Nan Nga số 4 800g (Trên 18 tháng),490000.0,"'Nestlé', 'Thụy Sĩ', 'Thụy Sĩ', '101113', 'Trên 18 tháng'",101113,Châu Âu,Thời kì răng sữa,Nestlé,Bé uống
Sữa I Am Mother số 3 800g (6 - 12 tháng),760000.0,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101147', '6 - 12 tháng'",101147,Châu Á,Thời kì răng sữa,Mamago,Bé uống
Sữa I Am Mother số 4 800g (1 - 3 tuổi),791000.0,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101148', '1 - 3 tuổi', '800g'",101148,Châu Á,Giai đoạn thiếu niên,KidsPlaza,Bé uống
Sữa Enfamil A+ Lactofree Care số 1 400g (0 - 12 tháng),262000.0,"'Mead Johnson', 'Mỹ', 'Hà Lan', '100879', '0 - 12 tháng'",100879,Mỹ,Thời kì răng sữa,Mead Johnson,Bé uống
Sữa Abbott Grow số 3 900g (1 - 2 tuổi),315000.0,"'Grow', 'Mỹ', 'Ireland', '100922', '1 - 2 tuổi'",100922,Mỹ,Giai đoạn thiếu niên,Aoi,Bé uống
Sữa PediaSure hương vani 400g (1 - 10 tuổi) (Giao mẫu ngẫu nhiên),325000.0,"'PediaSure', 'Mỹ', 'Singapore', '100956', '1 - 10 tuổi'",100956,Mỹ,Giai đoạn thiếu niên,Mamago,Bé uống
Sữa I am Mother số 1 400g (0 - 3 tháng),368000.0,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '100964', '0 - 3 tháng'",100964,Châu Á,Thời kì răng sữa,Anpaso,Bé uống
Sữa Abbott Grow 4 hương vani 900g (Trên 2 tuổi),349000.0,"'Grow', 'Mỹ', 'Singapore', '100965', 'Trên 2 tuổi', 'Vani'",100965,Mỹ,Giai đoạn thiếu niên,Aoi,Bé uống
Sữa Nuti IQ Step Số 2 900g (6 - 12 tháng),349000.0,"'NutiFood', '100993', '6 - 12 tháng'",100993,Châu Á,Thời kì răng sữa,NutiFood,Bé uống
Glico Icreo Balance Milk số 0 800g (0 - 12 tháng),545000.0,"'Glico Icreo', 'Nhật Bản', 'Nhật Bản', '101134', '0 - 12 tháng'",101134,Châu Á,Thời kì răng sữa,Medela,Bé uống
Sữa Kendamil Follow-On số 2 800g (6 - 12 tháng),630000.0,"'Kendamil', 'Anh', 'Anh', '805150', '6 - 12 tháng', '900 g'",805150,Châu Âu,Thời kì răng sữa,Poemy,Bé uống
Bình sữa Pigeon nhựa PP voi xanh 240ml,62000.0,"'Pigeon', 'Nhật Bản', '114139', 'Trên 3 tháng', 'Nhựa PP', '240ml', 'Trắng'",114139,Châu Á,Giai đoạn thiếu niên,Pigeon,Bé uống
Máy hâm sữa và thức ăn Chicco 7388,1050000.0,"'Chicco', 'Ý', 'Trung Quốc', '112256', 'Trắng', 'Nhựa cao cấp'",112256,Châu Âu,Giai đoạn thiếu niên,Chicco,Bé uống
Máy tiệt trùng hơi nước điện tử thông minh Fatzbaby FB4028SL,729000.0,"'Fatzbaby', 'Hàn Quốc', 'Trung Quốc', '108404', 'Cam', 'Nhựa cao cấp', '500W'",108404,Châu Á,Thời kì răng sữa,Dr.Papie,Bé uống
Sữa Imperial Kid XO hương vani 800g (2 - 15 tuổi),590000.0,"'Namyang', 'Hàn Quốc', 'Hàn Quốc', '101093', '2 - 15 tuổi'",101093,Châu Á,Giai đoạn thiếu niên,Philip Avent,Bé uống
Sữa nước PediaSure BA 1+ vị dâu 237ml (1 - 10 tuổi),41000.0,"'PediaSure', 'Mỹ', 'Mỹ', '119350', '1 - 10 tuổi', 'Dâu', '237ml'",119350,Mỹ,Giai đoạn thiếu niên,VIETMAT,Bé uống
Sữa Kendamil Toddler số 3 800g (1 - 3 tuổi),630000.0,"'Kendamil', 'Anh', 'Anh', '805151', '1 - 3 tuổi', '900 g'",805151,Châu Âu,Giai đoạn thiếu niên,KUKU,Bé uống
Sữa non Colomi 200g,550000.0,"'Việt Nam', 'Việt Nam', '805145', 'Từ sơ sinh', '200 g'",805145,Châu Á,Thời kì răng sữa,Mabu,Bé uống
Núm ty Wesser cổ hẹp size M (4 - 6 tháng),92150.0,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114518', '4 - 6 tháng', 'Silicon'",114518,Châu Á,Thời kì răng sữa,Wesser,Bé uống
Núm ty Wesser cổ hẹp size L (Trên 7 tháng),92150.0,"'Wesser', 'Hàn Quốc', 'Việt Nam', '114519', 'Trên 7 tháng', 'Silicon'",114519,Châu Á,Thời kì răng sữa,Wesser,Bé uống
Máy hâm sữa đa năng Gluck GN06,460000.0,"'Gluck Baby', 'Đức', 'Trung Quốc', '115527', 'Xanh', 'Nhựa cao cấp', '150W', '0.6kg', '20 x 12 x 12 cm', '12 tháng'",115527,Châu Âu,Giai đoạn thiếu niên,Anpaso,Bé uống
Sữa nước PediaSure BA 1+ vị vani 237ml (1 - 10 tuổi),42000.0,"'PediaSure', 'Mỹ', 'Mỹ', '117713', '1 - 10 tuổi', 'Vani', '237ml'",117713,Mỹ,Giai đoạn thiếu niên,Combi,Bé uống
Núm ty Comotomo hộp 2 chiếc (Trên 6 tháng),275000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108038', 'Trên 6 tháng', 'Silicon'",108038,Mỹ,Thời kì răng sữa,D-nee,Bé uống
Núm ty Comotomo Y cut hộp 2 chiếc (Trên 6 tháng),275000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108088', 'Trên 6 tháng', 'Silicon'",108088,Mỹ,Thời kì răng sữa,Nan ,Bé uống
Bình sữa Pigeon nhựa PP vịt xanh 120ml,57000.0,"'Pigeon', 'Nhật Bản', '114136', 'Từ sơ sinh', 'Nhựa PP', '120ml', 'Trắng'",114136,Châu Á,Giai đoạn thiếu niên,Pigeon,Bé uống
Núm ty Philips Avent tự nhiên vỉ đôi 654.23 (Trên 6 tháng),225000.0,"'Philips Avent', 'Anh', 'Indonesia', '115328', 'Trên 6 tháng', 'Silicon'",115328,Châu Âu,Thời kì răng sữa,Lactacyd,Bé uống
Bình sữa Pigeon nhựa PP cao cấp 120ml,132000.0,"'Pigeon', 'Nhật Bản', '118513', 'Từ sơ sinh', 'Nhựa PP', '120ml', 'Nhiều màu sắc'",118513,Châu Á,Giai đoạn thiếu niên,Pigeon,Bé uống
Dụng cụ cọ bình sữa DrBrown's,176000.0,"""Dr. Brown's"", 'Mỹ', '107777', 'Nhựa an toàn', 'Nhiều màu sắc'",107777,Mỹ,Giai đoạn thiếu niên,Topoil,Bé uống
Bình sữa Pigeon SofTouch Plus nhựa PP 240m (Trên 3 tháng),229000.0,"'Pigeon', 'Nhật Bản', 'Indonesia', '118518', 'Trên 3 tháng', 'Nhựa PP', '240ml', 'Trắng'",118518,Châu Á,Thời kì răng sữa,Pigeon,Bé uống
Núm ty Pigeon siêu mềm size M (vỉ 2 cái),95000.0,"'Pigeon', 'Nhật Bản', 'Indonesia', '107218', 'Trên 4 tháng', 'Silicon'",107218,Châu Á,Thời kì răng sữa,Pigeon,Bé uống
Bình sữa Pigeon nhựa PP cao cấp 240ml,139000.0,"'Pigeon', 'Nhật Bản', '118514', 'Bình sữa', 'Trên 6 tháng', 'Nhựa PP', '240ml', 'Nhiều màu sắc'",118514,Châu Á,Thời kì răng sữa,Pigeon,Bé uống
Núm ty Philips Avent tự nhiên vỉ đôi 653.23 (Trên 3 tháng),225000.0,"'Philips Avent', 'Anh', 'Indonesia', '115327', 'Trên 3 tháng', 'Silicon'",115327,Châu Âu,Thời kì răng sữa,Healthy Care,Bé uống
Bình sữa Comotomo hồng 250ml (Tách lẻ),429000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111466', 'Nhựa PP', '250ml', 'Hồng'",111466,Mỹ,Giai đoạn thiếu niên,D-nee,Bé uống
Núm ty Comotomo hộp 2 chiếc (Trên 3 tháng),275000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108087', 'Trên 3 tháng', 'Silicon'",108087,Mỹ,Thời kì răng sữa,KidsPlaza,Bé uống
Bình sữa Pigeon SofTouch Plus nhựa PP 160ml,222000.0,"'Pigeon', 'Nhật Bản', 'Indonesia', '118517', 'Từ sơ sinh', 'Nhựa PP', '160ml', 'Trắng'",118517,Châu Á,Giai đoạn thiếu niên,Pigeon,Bé uống
Bình sữa Comotomo hồng 150ml (Tách lẻ),419000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '111463', 'Nhựa PP', '150ml', 'Hồng'",111463,Mỹ,Thời kì răng sữa,Nutribiotik,Bé uống
Sữa tươi tiệt trùng Australia's Own tách béo 1L,47000.0,"""Australia's Own"", 'Úc', 'Úc', '804902', '1000 ml'",804902,Châu Đại Dương,Thời kì răng sữa,Geng Feng,Bé uống
Sữa dê công thức DG-1 400g (0 - 6 tháng),447000.0,"'DG', 'Newzealand', 'Newzealand', '804885', '0 - 6 tháng', '400g'",804885,Châu Âu,Thời kì răng sữa,Enfamil,Bé uống
Sữa dê công thức DG-2 400g (6 - 36 tháng),447000.0,"'DG', 'Newzealand', 'Newzealand', '804886', '6 - 36 tháng', '400 g'",804886,Mỹ,Thời kì răng sữa,Combi,Bé uống
Sữa dê công thức DG-3 400g (Trên 2 tuổi),410000.0,"'DG', 'Newzealand', 'Newzealand', '804887', 'Trên 2 tuổi', '400 g'",804887,Châu Á,Giai đoạn thiếu niên,KUKU,Bé uống
Sữa France Lait số 1 400g (0 - 6 tháng),299000.0,"'France Lait', 'Pháp', 'Pháp', '804888', '0 - 6 tháng', '400 g'",804888,Châu Âu,Thời kì răng sữa,Abbott,Bé uống
Sữa France Lait số 2 900g (6 - 12 tháng),580000.0,"'France Lait', 'Pháp', 'Pháp', '804891', '6 - 12 tháng', '900 g'",804891,Châu Âu,Thời kì răng sữa,Anpaso,Bé uống
Sữa France Lait số 3 900g (1 - 3 tuổi),590000.0,"'France Lait', 'Pháp', 'Pháp', '804893', '1 - 3 tuổi', '900 g'",804893,Châu Âu,Giai đoạn thiếu niên,Avent,Bé uống
Bình sữa DrBrown's Options Plus cổ rộng 150ml 51600,385000.0,"""Dr. Brown's"", 'Mỹ', 'Mỹ', '120791', 'Bình sữa', 'Từ sơ sinh', 'Nhựa PP', '150 ml'",120791,Mỹ,Thời kì răng sữa,Vinamilk,Bé uống
Bộ hai hộp chia sữa Munchkin 80103,139000.0,"'Munchkin', 'Mỹ', '107651', 'Hộp chia sữa', 'Từ sơ sinh', 'Nhựa an toàn', 'Nhiều màu sắc'",107651,Mỹ,Thời kì răng sữa,SABINA,Bé uống
Vỉ 2 núm ty DrBrown's cổ rộng số 2 (Trên 3 tháng),173000.0,"""Dr. Brown's"", 'Mỹ', '107766', 'Trên 3 tháng', 'Silicon'",107766,Mỹ,Thời kì răng sữa,KidsPlaza,Bé uống
Vỉ 2 núm ty DrBrown's cổ rộng số 3 (Trên 6 tháng),173000.0,"""Dr. Brown's"", 'Mỹ', '107767', 'Trên 6 tháng', 'Silicon'",107767,Mỹ,Thời kì răng sữa,Moaz Bébé,Bé uống
Ủ ấm bình sữa đơn Kuku 5449,199000.0,"'KuKu Duckbill', 'Đài Loan', 'Đài Loan', '107788', 'Từ sơ sinh', 'Trắng'",107788,Châu Á,Giai đoạn thiếu niên,KC Health,Bé uống
Bình sữa Philips Avent cổ chuẩn 260ml 683/17,235000.0,"'Philips Avent', 'Anh', '107933', 'Trên 1 tháng', 'Nhựa PP', '260ml', 'Trắng'",107933,Châu Âu,Giai đoạn thiếu niên,Combi,Bé uống
Bình sữa thủy tinh ChuChu Baby cổ nhỏ 240ml,215000.0,"'ChuChu Baby', 'Nhật Bản', '107973', 'Thủy tinh', '240ml', 'Trắng'",107973,Châu Á,Giai đoạn thiếu niên,Babba's Baby,Bé uống
Túi ủ bình sữa đôi Kuku 5448,228000.0,"'KuKu Duckbill', 'Đài Loan', 'Đài Loan', '107991', 'Bình ủ sữa', 'Từ sơ sinh', 'Trắng'",107991,Châu Á,Thời kì răng sữa,Mead Johnson,Bé uống
Bình sữa Nuk cổ rộng nhựa PP núm cao su 300ml 741617,215000.0,"'Nuk', 'Đức', '107994', 'Nhựa PP', '300ml', 'Nhiều màu sắc'",107994,Châu Âu,Giai đoạn thiếu niên,Mamaru,Bé uống
Bình sữa DrBrown's cổ thường 60ml,236000.0,"""Dr. Brown's"", 'Mỹ', 'Mỹ', '108021', 'Nhựa PP', '60ml', 'Trắng'",108021,Mỹ,Giai đoạn thiếu niên,Abbott,Bé uống
Bình sữa Medela 150ml,238000.0,"'Medela', 'Thụy Sĩ', '108024', 'Nhựa PP', '150ml', 'Trắng'",108024,Châu Âu,Thời kì răng sữa,Medela,Bé uống
Núm ty Comotomo hộp 2 chiếc (0 - 3 tháng),275000.0,"'Comotomo', 'Mỹ', 'Hàn Quốc', '108037', '0 - 3 tháng', 'Silicon'",108037,Mỹ,Thời kì răng sữa,Hipp,Bé uống
Bình sữa Nuk cổ rộng thủy tinh núm cao su 120ml 747076,230000.0,"'Nuk', 'Đức', 'Đức', '108041', 'Từ sơ sinh', 'Thủy tinh', '120ml', 'Xanh'",108041,Châu Âu,Thời kì răng sữa,Nestlé,Bé uống
Bình sữa Nuk cổ rộng thủy tinh núm cao su 240ml 745077,245000.0,"'Nuk', 'Đức', 'Đức', '108080', '0 - 6 tháng', 'Thủy tinh', '240ml', 'Xanh'",108080,Châu Âu,Thời kì răng sữa,Huggies,Bé uống
Ủ bình sữa Farlin BF-225,285000.0,"'Farlin', 'Đài Loan', 'Đài Loan', '108113', 'Bình ủ sữa', 'Từ sơ sinh', 'Nhựa cao cấp', 'Nhiều màu sắc'",108113,Châu Á,Giai đoạn thiếu niên,Pediakid,Bé uống
Bình sữa Chuchu Baby cổ nhỏ 240ml,280000.0,"'ChuChu Baby', 'Nhật Bản', '108144', 'Nhựa PPSU', '240ml', 'Trắng'",108144,Châu Á,Thời kì răng sữa,Pigeon,Bé uống
Bình sữa thủy tinh Chuchu Baby cổ rộng 160ml,350000.0,"'ChuChu Baby', 'Nhật Bản', '108241', 'Thủy tinh', '160ml', 'Xanh'",108241,Châu Á,Giai đoạn thiếu niên,Ecofood,Bé uống
Bình sữa Philips Avent thủy tinh 240ml 673/17,375000.0,"'Philips Avent', 'Anh', '108245', 'Trên 1 tháng', 'Thủy tinh', '240ml', 'Trắng'",108245,Châu Á,Thời kì răng sữa,Morinaga,Bé uống
